Office,CensusPop,raceYear,weird,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1975,,General,Kentucky,"277,998","Gable, Robert E.",Challenger,"470,159","Carroll, Julian",Incumbent,N/A,N/A,N/A,N/A,N/A,"192,161",D,0,37.16,62.84,
Governor,N/A,1975,,General,Louisiana,N/A,N/A,N/A,"430,095","Edwards, Edwin W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"430,095",D,0,0,100,Edwards was the only name on the ballot.  See also the 1975 Louisiana Open Primary for Governor in which Edwards won a lanslide victory against Democratic opponents. No Republicans entered either race.
Governor,N/A,1975,,General,Mississippi,"319,632","Carmichael, Gil",Challenger,"369,568","Finch, Cliff",Challenger,N/A,N/A,N/A,N/A,"18,833","49,936",D,0,46.38,53.62,
Governor,N/A,1976,1102,General,Arkansas,"121,716","Griffith, Leon",Challenger,"605,083","Pryor, David H.",Incumbent,N/A,N/A,N/A,N/A,150,"483,367",D,0,16.75,83.25,
Governor,N/A,1976,1102,General,Delaware,"130,531","duPont, Pierre",Challenger,"97,480","Tribbitt, Sherman W.",Incumbent,N/A,N/A,N/A,N/A,"1,552","33,051",R,0,57.25,42.75,
Governor,N/A,1976,1102,General,Illinois,"3,000,395","Thompson, James R.",Challenger,"1,606,989","Howlett, Michael J.",Challenger,N/A,N/A,N/A,N/A,"28,344","1,393,406",R,0,65.12,34.88,
Governor,N/A,1976,1102,General,Indiana,"1,236,555","Bowen, Otis R.",Incumbent,"918,368","Conrad, Larry A.",Challenger,N/A,N/A,N/A,N/A,"11,526","318,187",R,0,57.38,42.62,
Governor,N/A,1976,1102,General,Missouri,"958,110","Bond, Christopher S.",Incumbent,"971,184","Teasdale, Joseph P.",Challenger,N/A,N/A,N/A,N/A,"4,215","13,074",D,0,49.66,50.34,
Governor,N/A,1976,1102,General,Montana,"115,848","Woodahi, Robert",Challenger,"195,420","Judge, Thomas L.",Incumbent,N/A,N/A,N/A,N/A,"5,452","79,572",D,0,37.22,62.78,
Governor,N/A,1976,1102,General,North Carolina,"564,092","Flaherty, David T.",Challenger,"1,081,293","Hunt, James B. Jr.",Challenger,N/A,N/A,N/A,N/A,"18,429","517,201",D,0,34.28,65.72,
